County,State,AvgP_Below_1.00x_FPL,AvgP_Below_1.50x_FPL,AvgP_Below_2.00x_FPL
POCAHONTAS,IA,6.86,14.60,25.32
POLK,IA,7.47,13.27,20.36
POTTAWATTAMIE,IA,7.88,13.96,22.16
POWESHIEK,IA,7.66,14.60,20.24
RINGGOLD,IA,7.81,16.32,27.69
SAC,IA,7.37,13.45,20.85
SCOTT,IA,8.16,13.42,20.09
SHELBY,IA,6.26,13.79,20.99
SIOUX,IA,4.44,9.61,16.86
STORY,IA,4.92,11.15,17.50
TAMA,IA,8.05,14.23,23.13
TAYLOR,IA,4.68,15.26,22.69
UNION,IA,9.67,19.31,28.38
VAN BUREN,IA,8.49,15.20,26.10
WAPELLO,IA,12.65,22.49,32.89
WARREN,IA,4.96,8.73,13.80
WASHINGTON,IA,7.41,13.98,20.88
WAYNE,IA,10.15,20.72,30.81
WEBSTER,IA,10.16,21.14,30.42
WINNEBAGO,IA,5.66,12.85,22.89
WINNESHIEK,IA,4.76,8.83,13.90
WOODBURY,IA,9.60,18.57,26.80
WORTH,IA,6.83,10.24,20.82
WRIGHT,IA,10.14,18.15,28.66
ADA,ID,6.68,11.57,18.06
ADAMS,ID,6.55,18.48,30.67
BANNOCK,ID,11.39,20.23,30.56
BEAR LAKE,ID,12.49,19.01,23.61
BENEWAH,ID,9.53,21.78,30.50
BINGHAM,ID,9.79,22.03,31.55
BLAINE,ID,10.75,17.24,25.57
BOISE,ID,9.51,15.76,26.06
BONNER,ID,9.55,17.92,26.03
BONNEVILLE,ID,8.89,18.00,28.33
BOUNDARY,ID,10.95,18.00,26.49
BUTTE,ID,12.48,19.43,32.34
CAMAS,ID,13.62,25.35,38.97
CANYON,ID,10.29,22.90,35.70
CARIBOU,ID,5.96,15.17,24.00
CASSIA,ID,11.01,21.62,35.33
CLARK,ID,14.17,35.42,48.75
CLEARWATER,ID,9.79,16.75,27.68
CUSTER,ID,15.79,18.51,33.77
ELMORE,ID,10.50,25.82,36.92
FRANKLIN,ID,10.58,20.33,28.90
FREMONT,ID,11.83,22.10,34.79
GEM,ID,14.41,22.31,32.72
GOODING,ID,11.06,19.63,31.91
IDAHO,ID,9.05,21.82,35.04
JEFFERSON,ID,5.51,14.91,28.66
JEROME,ID,13.72,23.79,37.22
KOOTENAI,ID,9.34,15.55,25.52
LATAH,ID,9.00,14.79,22.87
LEMHI,ID,6.56,22.08,34.55
LEWIS,ID,8.38,19.80,30.69
LINCOLN,ID,8.93,22.81,33.20
MADISON,ID,28.12,43.44,55.53
MINIDOKA,ID,14.15,24.68,37.33
NEZ PERCE,ID,8.99,15.86,24.43
ONEIDA,ID,8.97,15.48,26.12
OWYHEE,ID,17.13,29.73,38.87
PAYETTE,ID,9.82,19.53,28.87
POWER,ID,7.29,22.05,34.25
SHOSHONE,ID,11.60,22.28,31.75
TETON,ID,4.64,13.64,19.91
TWIN FALLS,ID,10.49,19.98,29.92
VALLEY,ID,3.63,6.24,22.32
WASHINGTON,ID,13.57,28.95,42.14
ADAMS,IL,8.24,14.72,23.56
ALEXANDER,IL,22.93,31.67,42.70
BOND,IL,7.92,15.31,20.42
BOONE,IL,7.85,14.44,24.30
BROWN,IL,6.30,11.74,20.06
BUREAU,IL,9.45,16.73,24.03
CALHOUN,IL,9.32,14.27,20.46
CARROLL,IL,9.03,13.57,21.87
CASS,IL,10.90,20.41,32.55
CHAMPAIGN,IL,9.55,16.30,23.14
CHRISTIAN,IL,9.14,17.12,24.91
CLARK,IL,9.94,18.67,27.25
CLAY,IL,12.37,18.68,26.81
CLINTON,IL,6.36,11.95,17.63
COLES,IL,13.39,22.44,28.37
COOK,IL,11.42,19.60,27.48
CRAWFORD,IL,9.02,15.87,25.95
CUMBERLAND,IL,10.33,16.87,23.59
DEKALB,IL,9.48,14.87,22.12
DE WITT,IL,8.28,14.44,20.71
DOUGLAS,IL,11.13,20.23,26.59
DUPAGE,IL,4.75,8.64,13.30
EDGAR,IL,9.70,15.45,24.44
EDWARDS,IL,8.02,13.20,23.52
EFFINGHAM,IL,8.57,14.42,21.59
FAYETTE,IL,13.89,24.49,35.24
FORD,IL,12.24,19.22,25.28
FRANKLIN,IL,15.20,25.49,35.01
FULTON,IL,11.60,20.06,27.46
GALLATIN,IL,14.45,25.98,36.38
GREENE,IL,10.63,18.21,29.59
GRUNDY,IL,6.87,10.00,16.12
HAMILTON,IL,5.52,11.97,22.17
HANCOCK,IL,7.62,16.27,24.13
HARDIN,IL,9.04,17.31,27.34
HENDERSON,IL,5.04,12.39,24.03
HENRY,IL,8.68,14.40,21.11
IROQUOIS,IL,10.02,17.58,25.73
JACKSON,IL,15.20,24.69,33.15
JASPER,IL,9.44,14.28,21.24
JEFFERSON,IL,14.13,20.74,29.40
JERSEY,IL,6.01,12.36,18.16
JO DAVIESS,IL,5.59,12.15,19.06
JOHNSON,IL,7.68,16.25,27.89
KANE,IL,7.32,12.93,19.82
KANKAKEE,IL,10.54,17.21,23.34
KENDALL,IL,3.48,6.31,13.78
KNOX,IL,11.23,19.32,27.20
LAKE,IL,6.21,11.70,17.07
LA SALLE,IL,9.94,15.89,23.37
LAWRENCE,IL,13.86,22.22,33.35
LEE,IL,5.88,11.91,20.66
LIVINGSTON,IL,10.01,18.16,25.50
LOGAN,IL,5.09,12.58,19.89
MCDONOUGH,IL,10.21,17.42,25.59
MCHENRY,IL,5.10,8.69,13.59
MCLEAN,IL,7.60,12.76,18.06
MACON,IL,11.83,19.19,26.57
MACOUPIN,IL,9.29,15.99,24.03
MADISON,IL,9.99,15.59,21.97
MARION,IL,13.97,22.94,31.71
MARSHALL,IL,8.90,14.78,21.14
MASON,IL,12.35,22.16,32.36
MASSAC,IL,14.05,22.64,34.35
MENARD,IL,6.94,11.04,18.49
MERCER,IL,9.27,13.78,19.18
MONROE,IL,3.70,6.83,11.13
MONTGOMERY,IL,11.74,18.17,26.49
MORGAN,IL,10.66,18.17,27.47
MOULTRIE,IL,6.13,13.27,20.71
OGLE,IL,6.52,14.04,22.24
PEORIA,IL,11.61,19.26,26.11
PERRY,IL,11.86,18.82,28.62
PIATT,IL,3.50,7.39,13.84
PIKE,IL,9.45,21.62,30.98
POPE,IL,9.58,12.88,28.36
PULASKI,IL,12.00,29.99,41.84
PUTNAM,IL,4.12,8.48,16.78
RANDOLPH,IL,8.24,17.49,23.93
RICHLAND,IL,8.87,16.67,27.23
ROCK ISLAND,IL,11.47,17.69,26.09
ST. CLAIR,IL,12.07,19.24,26.15
SALINE,IL,18.21,28.00,36.41
SANGAMON,IL,10.86,16.92,22.47
SCHUYLER,IL,6.62,12.03,22.39
SCOTT,IL,10.12,16.77,24.59
SHELBY,IL,8.80,18.23,25.88
STARK,IL,10.71,19.33,23.37
STEPHENSON,IL,9.94,18.09,27.79
TAZEWELL,IL,5.76,11.96,18.72
UNION,IL,12.01,21.31,30.54
VERMILION,IL,15.05,23.35,32.67
WABASH,IL,8.30,16.90,25.10
WARREN,IL,8.98,18.15,28.70
WASHINGTON,IL,5.45,10.43,17.46
WAYNE,IL,10.46,18.51,29.10
WHITE,IL,8.43,18.96,27.70
WHITESIDE,IL,7.30,14.85,24.11
WILL,IL,5.36,10.15,15.30
WILLIAMSON,IL,10.12,17.22,25.49
WINNEBAGO,IL,11.62,19.79,28.24
WOODFORD,IL,5.65,10.38,16.13
ADAMS,IN,12.79,21.50,29.05
ALLEN,IN,10.54,18.69,26.82
BARTHOLOMEW,IN,9.16,14.71,22.84
BENTON,IN,9.96,20.86,31.27
BLACKFORD,IN,9.07,18.55,31.24
BOONE,IN,3.25,7.27,12.95
BROWN,IN,5.19,13.09,21.20
CARROLL,IN,7.26,14.28,23.88
CASS,IN,10.31,19.33,28.61
CLARK,IN,6.89,14.99,22.33
CLAY,IN,11.15,18.73,27.10
CLINTON,IN,7.02,14.83,25.79
CRAWFORD,IN,11.93,24.38,32.60
DAVIESS,IN,8.62,17.70,29.69
DEARBORN,IN,6.17,12.36,18.31
DECATUR,IN,9.79,15.62,24.40
DE KALB,IN,7.75,13.79,24.11
DELAWARE,IN,12.96,22.06,31.50
DUBOIS,IN,9.26,12.72,19.23
ELKHART,IN,10.02,17.93,27.48
FAYETTE,IN,15.24,23.64,33.65
FLOYD,IN,7.75,12.99,19.07
FOUNTAIN,IN,8.51,16.41,28.25
FRANKLIN,IN,6.19,16.86,24.35
FULTON,IN,10.26,15.58,24.67
GIBSON,IN,6.55,14.28,23.27
GRANT,IN,14.96,23.87,34.17
GREENE,IN,10.57,18.85,28.06
HAMILTON,IN,3.35,6.37,10.92
HANCOCK,IN,5.28,9.92,14.98
HARRISON,IN,7.17,13.82,21.49
HENDRICKS,IN,3.71,6.87,11.82
HENRY,IN,11.71,20.73,29.34
HOWARD,IN,13.13,19.15,27.03
HUNTINGTON,IN,6.76,15.37,23.17
JACKSON,IN,12.38,20.26,29.05
JASPER,IN,6.79,12.92,22.11
JAY,IN,10.80,20.03,29.20
JEFFERSON,IN,10.45,17.46,28.11
JENNINGS,IN,11.03,18.94,27.20
JOHNSON,IN,6.04,11.29,17.71
KNOX,IN,12.72,21.83,30.22
KOSCIUSKO,IN,7.22,13.31,22.98
LAGRANGE,IN,5.09,13.51,25.35
LAKE,IN,12.93,20.24,27.99
LA PORTE,IN,12.23,20.14,27.29
LAWRENCE,IN,10.14,18.74,28.71
MADISON,IN,13.25,22.66,31.14
MARION,IN,14.13,23.85,33.52
MARSHALL,IN,7.64,17.46,27.16
MARTIN,IN,9.13,17.71,23.42
MIAMI,IN,10.79,21.52,32.29
MONROE,IN,11.71,18.02,26.05
MONTGOMERY,IN,6.00,13.38,24.04
MORGAN,IN,7.95,13.15,20.87
NEWTON,IN,8.79,18.22,29.59
NOBLE,IN,5.41,14.11,24.73
OHIO,IN,4.04,6.72,11.79
ORANGE,IN,13.51,22.05,33.46
OWEN,IN,9.78,18.67,28.23
PARKE,IN,9.61,18.42,29.02
PERRY,IN,12.84,20.15,26.50
PIKE,IN,7.10,14.65,22.43
PORTER,IN,7.93,12.60,17.86
POSEY,IN,7.03,11.39,17.47
PULASKI,IN,8.89,16.69,29.16
PUTNAM,IN,8.34,15.40,24.72
RANDOLPH,IN,10.76,18.96,29.79
RIPLEY,IN,7.74,14.36,24.17
RUSH,IN,12.53,18.67,27.93
ST. JOSEPH,IN,11.34,19.28,27.47
SCOTT,IN,11.51,21.79,31.09
SHELBY,IN,7.16,13.56,21.02
SPENCER,IN,6.22,12.60,19.52
STARKE,IN,8.47,19.13,30.97
STEUBEN,IN,7.00,12.54,23.16
SULLIVAN,IN,9.83,21.35,31.56
SWITZERLAND,IN,17.56,27.35,34.27
TIPPECANOE,IN,9.48,16.30,25.13
TIPTON,IN,6.11,12.83,20.67
UNION,IN,4.50,13.45,26.23
VANDERBURGH,IN,12.50,20.60,29.49
VERMILLION,IN,11.12,15.82,27.15
VIGO,IN,12.99,23.58,32.98
WABASH,IN,9.51,17.32,27.61
WARREN,IN,7.02,11.61,19.66
WARRICK,IN,5.53,10.23,15.92
WASHINGTON,IN,10.98,19.20,30.58
WAYNE,IN,12.21,21.41,31.57
WELLS,IN,5.91,12.37,20.33
WHITE,IN,5.63,13.37,21.40
WHITLEY,IN,6.80,12.08,18.67
ALLEN,KS,12.12,20.83,29.23
ANDERSON,KS,8.15,17.05,28.11
ATCHISON,KS,10.81,16.14,23.71
BARBER,KS,11.92,20.03,28.07
BARTON,KS,10.89,19.57,27.44
BOURBON,KS,11.27,25.83,38.09
BROWN,KS,8.66,17.52,27.91
BUTLER,KS,7.18,13.06,20.91
CHASE,KS,9.05,18.10,26.23
CHAUTAUQUA,KS,14.27,23.97,34.89
CHEROKEE,KS,11.02,23.20,34.81
CHEYENNE,KS,6.49,17.63,23.41
CLARK,KS,8.93,19.31,25.50
CLAY,KS,4.32,9.29,16.78
CLOUD,KS,6.92,20.58,33.19
COFFEY,KS,7.36,12.00,19.93
COMANCHE,KS,2.89,6.82,16.12
COWLEY,KS,10.71,20.26,30.53
CRAWFORD,KS,13.48,22.91,32.39
DECATUR,KS,14.92,18.62,27.42
DICKINSON,KS,7.81,16.71,27.58
DONIPHAN,KS,12.15,18.85,25.96
DOUGLAS,KS,7.64,13.24,18.66
EDWARDS,KS,5.81,15.95,24.60
ELK,KS,10.56,19.69,35.66
ELLIS,KS,8.72,15.26,20.68
ELLSWORTH,KS,7.77,14.43,24.11
FINNEY,KS,11.39,23.47,34.14
FORD,KS,10.74,22.87,35.52
FRANKLIN,KS,5.56,11.93,23.90
GEARY,KS,11.13,23.44,33.45
GOVE,KS,11.07,17.16,28.23
GRAHAM,KS,6.38,17.16,28.94
GRANT,KS,2.35,13.58,26.42
GRAY,KS,4.24,9.53,17.57
GREELEY,KS,6.13,15.34,23.62
GREENWOOD,KS,8.40,18.77,33.17
HAMILTON,KS,6.10,18.13,32.68
HARPER,KS,9.00,16.13,28.53
HARVEY,KS,7.75,12.87,19.76
HASKELL,KS,10.40,21.48,30.73
HODGEMAN,KS,6.91,10.17,22.46
JACKSON,KS,6.39,11.29,19.42
JEFFERSON,KS,5.30,10.05,18.56
JEWELL,KS,11.25,24.33,32.15
JOHNSON,KS,3.80,7.17,11.93
KEARNY,KS,13.68,22.84,28.53
KINGMAN,KS,6.26,11.44,19.16
KIOWA,KS,3.63,12.16,21.64
LABETTE,KS,13.38,20.69,29.60
LANE,KS,5.90,15.65,22.68
LEAVENWORTH,KS,6.10,10.89,17.72
LINCOLN,KS,7.13,12.55,22.32
LINN,KS,12.84,23.10,33.72
LOGAN,KS,5.09,13.27,23.99
LYON,KS,8.84,19.43,31.03
MCPHERSON,KS,6.35,13.68,20.62
MARION,KS,5.34,11.58,23.97
MARSHALL,KS,5.88,15.92,25.99
MEADE,KS,10.00,17.37,23.25
MIAMI,KS,5.28,9.44,15.40
MITCHELL,KS,7.96,16.18,26.73
MONTGOMERY,KS,13.18,23.45,34.01
MORRIS,KS,5.34,12.81,22.33
MORTON,KS,6.14,14.62,28.22
NEMAHA,KS,7.21,12.81,20.42
NEOSHO,KS,12.98,21.95,30.50
NESS,KS,5.73,17.64,25.43
NORTON,KS,6.83,10.74,27.61
OSAGE,KS,7.56,14.38,20.52
OSBORNE,KS,8.66,14.41,21.29
OTTAWA,KS,6.61,14.23,23.69
PAWNEE,KS,3.76,16.16,28.62
PHILLIPS,KS,6.46,16.32,23.96
POTTAWATOMIE,KS,8.87,15.06,20.27
PRATT,KS,6.17,13.36,24.10
RAWLINS,KS,6.32,14.61,23.31
RENO,KS,8.29,16.65,26.25
REPUBLIC,KS,5.92,11.61,18.82
RICE,KS,12.29,18.55,27.97
RILEY,KS,7.18,15.65,25.05
ROOKS,KS,4.85,14.10,22.84
RUSH,KS,4.41,14.14,22.83
RUSSELL,KS,2.52,9.09,19.77
SALINE,KS,8.08,15.14,24.96
SCOTT,KS,0.73,9.18,16.01
SEDGWICK,KS,9.96,17.50,26.08
SEWARD,KS,14.54,28.75,41.26
SHAWNEE,KS,8.29,15.12,23.61
SHERIDAN,KS,1.79,15.82,24.48
SHERMAN,KS,15.18,19.21,26.28
SMITH,KS,7.10,16.46,27.61
STAFFORD,KS,9.27,18.86,25.66
STANTON,KS,8.56,10.75,22.22
STEVENS,KS,16.49,21.41,28.83
SUMNER,KS,10.09,16.34,23.38
THOMAS,KS,6.63,16.22,25.15
TREGO,KS,8.52,14.69,20.63
WABAUNSEE,KS,3.63,8.54,19.11
WALLACE,KS,6.62,10.64,19.39
WASHINGTON,KS,7.55,14.24,22.90
WICHITA,KS,3.09,15.77,29.11
WILSON,KS,9.34,20.58,31.85
WOODSON,KS,13.83,25.93,37.65
WYANDOTTE,KS,16.07,27.94,39.45
ADAIR,KY,15.49,27.87,41.40
ALLEN,KY,15.43,27.27,37.58
ANDERSON,KY,11.04,18.07,28.99
BALLARD,KY,12.30,20.43,28.65
BARREN,KY,16.50,28.21,39.18
BATH,KY,14.65,26.11,36.36
BELL,KY,32.07,46.37,58.68
BOONE,KY,5.25,10.37,16.85
BOURBON,KY,11.75,20.14,28.87
BOYD,KY,14.93,22.81,31.66
BOYLE,KY,9.61,22.88,33.41
BRACKEN,KY,14.56,21.86,31.77
BREATHITT,KY,29.33,43.25,56.78
BRECKINRIDGE,KY,13.84,22.52,33.89
BULLITT,KY,7.86,13.80,20.74
BUTLER,KY,15.58,27.62,38.03
CALDWELL,KY,11.78,20.89,31.11
CALLOWAY,KY,13.53,21.97,30.88
CAMPBELL,KY,9.18,14.51,21.98
CARLISLE,KY,16.05,30.56,38.12
CARROLL,KY,23.98,31.37,38.33
CARTER,KY,21.15,32.96,45.35
CASEY,KY,20.71,35.22,45.89
CHRISTIAN,KY,15.63,29.85,42.01
CLARK,KY,11.42,19.84,28.52
CLAY,KY,32.65,45.08,57.60
CLINTON,KY,16.97,39.20,49.94
CRITTENDEN,KY,10.19,22.46,32.29
CUMBERLAND,KY,18.05,29.98,42.13
DAVIESS,KY,12.07,20.93,29.30
EDMONSON,KY,10.52,26.09,37.55
ELLIOTT,KY,25.00,39.13,49.34
ESTILL,KY,29.87,37.29,47.54
FAYETTE,KY,11.83,18.68,25.75
FLEMING,KY,13.66,25.52,37.19
FLOYD,KY,25.44,37.12,47.48
FRANKLIN,KY,8.74,14.55,20.99
FULTON,KY,25.75,37.45,44.12
GALLATIN,KY,12.55,24.33,37.65
GARRARD,KY,13.13,19.71,28.43
GRANT,KY,14.08,22.92,34.99
GRAVES,KY,13.29,24.61,31.06
GRAYSON,KY,18.86,30.00,42.08
GREEN,KY,12.98,26.64,39.32
GREENUP,KY,11.81,21.07,29.22
HANCOCK,KY,9.15,18.69,26.19
HARDIN,KY,10.57,18.60,27.38
HARLAN,KY,32.10,46.67,56.66
HARRISON,KY,11.03,18.41,26.52
HART,KY,15.83,28.04,42.23
HENDERSON,KY,12.66,19.92,29.42
HENRY,KY,14.45,22.84,31.30
HICKMAN,KY,9.11,23.55,33.21
HOPKINS,KY,13.44,22.08,32.94
JACKSON,KY,25.36,35.87,47.34
JEFFERSON,KY,10.48,17.54,25.25
JESSAMINE,KY,13.88,20.18,27.14
JOHNSON,KY,17.28,27.67,38.10
KENTON,KY,9.55,15.75,22.60
KNOTT,KY,27.27,42.05,53.26
KNOX,KY,27.75,42.31,52.92
LARUE,KY,10.48,24.17,36.15
LAUREL,KY,19.05,30.03,42.21
LAWRENCE,KY,21.48,32.91,46.32
LEE,KY,28.09,43.61,50.75
LESLIE,KY,26.53,35.52,44.95
LETCHER,KY,27.84,38.94,51.67
LEWIS,KY,21.88,35.68,43.81
LINCOLN,KY,19.02,30.10,40.95
LIVINGSTON,KY,10.03,20.98,31.08
LOGAN,KY,11.74,22.98,32.43
LYON,KY,9.28,14.69,23.71
MCCRACKEN,KY,12.35,20.80,28.25
MCCREARY,KY,29.51,46.25,63.88
MCLEAN,KY,12.34,21.19,27.32
MADISON,KY,13.26,20.55,28.64
MAGOFFIN,KY,23.62,36.65,51.70
MARION,KY,14.65,24.87,34.88
MARSHALL,KY,8.22,17.36,25.85
MARTIN,KY,24.32,35.57,52.82
MASON,KY,11.99,23.09,33.84
MEADE,KY,9.62,16.62,25.73
MENIFEE,KY,17.93,27.01,38.23
MERCER,KY,10.54,18.47,28.12
METCALFE,KY,18.61,32.41,46.86
MONROE,KY,16.87,24.29,40.13
MONTGOMERY,KY,17.24,29.53,39.53
MORGAN,KY,21.23,38.83,46.76
MUHLENBERG,KY,13.26,23.37,32.76
NELSON,KY,8.16,14.87,24.07
NICHOLAS,KY,16.31,27.28,39.13
OHIO,KY,15.22,23.20,36.91
OLDHAM,KY,4.22,6.42,11.16
OWEN,KY,11.58,23.20,39.72
OWSLEY,KY,30.05,38.26,50.69
PENDLETON,KY,12.25,18.58,26.44
PERRY,KY,22.98,35.67,47.68
PIKE,KY,21.77,33.27,43.11
POWELL,KY,16.38,29.01,41.27
PULASKI,KY,18.18,28.53,37.59
ROBERTSON,KY,19.46,23.93,33.57
ROCKCASTLE,KY,18.85,30.61,40.19
ROWAN,KY,19.14,33.61,40.36
RUSSELL,KY,19.25,27.47,41.80
SCOTT,KY,9.19,15.27,20.29
SHELBY,KY,8.20,16.20,26.27
SIMPSON,KY,12.01,17.82,29.05
SPENCER,KY,6.58,11.23,16.31
TAYLOR,KY,18.32,29.34,38.86
TODD,KY,15.30,23.39,40.68
TRIGG,KY,8.16,16.01,25.85
TRIMBLE,KY,15.89,24.70,33.90
UNION,KY,9.72,20.19,31.64
WARREN,KY,12.26,20.74,28.64
WASHINGTON,KY,13.12,20.57,28.15
WAYNE,KY,19.10,31.26,44.62
WEBSTER,KY,15.97,26.74,35.91
WHITLEY,KY,20.60,29.87,44.08
WOLFE,KY,29.25,46.67,52.94
WOODFORD,KY,10.13,14.22,19.15
ACADIA PARISH,LA,19.26,29.37,39.47
ALLEN PARISH,LA,15.38,25.86,37.06
ASCENSION PARISH,LA,8.94,13.86,19.52
ASSUMPTION PARISH,LA,15.23,26.65,35.85
AVOYELLES PARISH,LA,18.41,30.51,42.44
BEAUREGARD PARISH,LA,12.29,20.72,28.47
BIENVILLE PARISH,LA,23.92,38.31,47.43
BOSSIER PARISH,LA,12.74,21.14,29.38
CADDO PARISH,LA,17.74,28.48,37.39
CALCASIEU PARISH,LA,13.06,22.27,31.94
CALDWELL PARISH,LA,17.59,32.59,39.50
CAMERON PARISH,LA,10.30,25.02,31.23
CATAHOULA PARISH,LA,17.80,27.10,33.95
CLAIBORNE PARISH,LA,26.64,40.36,49.79
CONCORDIA PARISH,LA,22.08,38.58,44.99
DE SOTO PARISH,LA,19.88,27.71,34.32
EAST BATON ROUGE PARISH,LA,12.27,20.03,28.06
EAST CARROLL PARISH,LA,38.57,49.73,60.73
EAST FELICIANA PARISH,LA,15.95,25.31,35.16
EVANGELINE PARISH,LA,21.25,36.73,48.42
FRANKLIN PARISH,LA,22.43,31.83,44.97
GRANT PARISH,LA,14.34,24.42,34.78
IBERIA PARISH,LA,17.70,27.24,36.35
IBERVILLE PARISH,LA,13.62,24.62,35.60
JACKSON PARISH,LA,20.01,30.00,39.25
JEFFERSON PARISH,LA,11.99,20.67,28.87
JEFFERSON DAVIS PARISH,LA,17.28,28.52,39.49
LAFAYETTE PARISH,LA,11.38,20.32,28.73
LAFOURCHE PARISH,LA,11.81,19.68,29.41
LASALLE PARISH,LA,20.40,27.75,40.77
LINCOLN PARISH,LA,18.53,30.90,37.45
LIVINGSTON PARISH,LA,9.41,17.45,25.62
MADISON PARISH,LA,31.83,45.44,56.33
MOREHOUSE PARISH,LA,24.07,34.66,42.83
NATCHITOCHES PARISH,LA,19.13,31.31,42.48
ORLEANS PARISH,LA,17.77,28.11,37.01
OUACHITA PARISH,LA,18.87,28.98,37.52
PLAQUEMINES PARISH,LA,17.25,22.58,30.71
POINTE COUPEE PARISH,LA,11.24,18.07,30.10
RAPIDES PARISH,LA,15.42,26.40,34.55
RED RIVER PARISH,LA,20.11,30.51,42.39
RICHLAND PARISH,LA,23.58,35.02,44.40
SABINE PARISH,LA,13.92,23.76,35.72
ST. BERNARD PARISH,LA,17.33,29.44,39.74
ST. CHARLES PARISH,LA,8.82,13.68,20.90
ST. HELENA PARISH,LA,15.31,30.09,40.19
ST. JAMES PARISH,LA,11.49,21.15,31.37
ST. JOHN THE BAPTIST PARISH,LA,16.50,22.56,32.46
ST. LANDRY PARISH,LA,24.40,34.84,45.14
ST. MARTIN PARISH,LA,14.59,24.91,35.87
ST. MARY PARISH,LA,14.55,27.84,39.56
ST. TAMMANY PARISH,LA,8.23,14.22,21.36
TANGIPAHOA PARISH,LA,16.85,26.59,36.20
TENSAS PARISH,LA,27.65,48.48,55.87
TERREBONNE PARISH,LA,16.46,25.04,34.26
UNION PARISH,LA,12.73,21.32,28.84
VERMILION PARISH,LA,11.28,20.07,29.49
VERNON PARISH,LA,13.72,25.29,37.02
WASHINGTON PARISH,LA,19.70,32.56,42.47
WEBSTER PARISH,LA,20.23,38.12,51.51
WEST BATON ROUGE PARISH,LA,12.05,18.73,27.94
WEST CARROLL PARISH,LA,16.15,33.85,42.20
WEST FELICIANA PARISH,LA,12.32,15.97,24.01
WINN PARISH,LA,18.87,31.67,39.30
BARNSTABLE,MA,4.40,8.98,14.41
BERKSHIRE,MA,7.89,13.49,20.26
BRISTOL,MA,8.69,14.67,21.27
DUKES,MA,2.60,5.17,17.05
ESSEX,MA,8.04,13.51,19.27
FRANKLIN,MA,5.84,11.84,18.90
HAMPDEN,MA,13.45,21.87,29.41
HAMPSHIRE,MA,6.13,10.16,15.30
MIDDLESEX,MA,5.17,8.64,12.72
NANTUCKET,MA,3.75,6.48,7.63
NORFOLK,MA,4.21,6.98,10.54
PLYMOUTH,MA,5.47,9.31,14.06
SUFFOLK,MA,14.55,22.98,30.73
WORCESTER,MA,7.00,11.62,17.61
ALLEGANY,MD,10.69,19.65,28.21
ANNE ARUNDEL,MD,3.96,7.23,11.15
BALTIMORE,MD,6.01,10.76,16.87
CALVERT,MD,3.03,6.23,9.30
CAROLINE,MD,10.39,20.50,28.46
CARROLL,MD,3.36,5.99,9.55
CECIL,MD,6.53,12.55,18.93
CHARLES,MD,4.67,9.03,14.14
DORCHESTER,MD,11.89,19.41,27.38
FREDERICK,MD,4.38,8.34,12.44
GARRETT,MD,6.23,16.57,27.99
HARFORD,MD,5.30,8.97,13.77
HOWARD,MD,3.95,6.65,9.37
KENT,MD,7.70,13.43,21.13
MONTGOMERY,MD,4.64,8.96,13.69
PRINCE GEORGE'S,MD,6.18,11.66,18.38
QUEEN ANNE'S,MD,3.06,5.99,10.30
ST. MARY'S,MD,6.00,9.71,14.77
SOMERSET,MD,15.92,27.31,38.77
TALBOT,MD,6.71,13.25,17.19
WASHINGTON,MD,9.52,15.81,23.83
WICOMICO,MD,9.31,17.39,26.37
WORCESTER,MD,6.41,11.88,18.10
BALTIMORE CITY,MD,16.59,25.95,35.57
ANDROSCOGGIN,ME,8.80,16.56,24.92
AROOSTOOK,ME,11.74,22.77,33.61
CUMBERLAND,ME,5.68,9.73,15.09
FRANKLIN,ME,7.90,16.80,27.02
HANCOCK,ME,7.49,12.79,23.12
KENNEBEC,ME,8.57,17.07,24.68
KNOX,ME,7.93,13.04,21.60
LINCOLN,ME,7.69,15.20,22.09
OXFORD,ME,10.66,19.62,29.66
PENOBSCOT,ME,9.76,16.54,25.45
PISCATAQUIS,ME,11.74,19.86,32.58
SAGADAHOC,ME,6.82,12.38,19.70
SOMERSET,ME,12.64,22.22,33.16
WALDO,ME,8.49,16.16,25.92
WASHINGTON,ME,12.83,22.57,33.60
YORK,ME,4.94,9.70,16.80
ALCONA,MI,11.37,19.84,31.87
ALGER,MI,8.17,16.00,26.30
ALLEGAN,MI,7.74,14.27,22.57
ALPENA,MI,10.13,19.23,30.08
ANTRIM,MI,8.52,15.98,25.98
ARENAC,MI,12.53,22.79,32.65
BARAGA,MI,11.10,20.77,32.79
BARRY,MI,5.38,11.81,20.35
BAY,MI,12.04,18.76,26.73
BENZIE,MI,4.55,11.96,20.01
BERRIEN,MI,12.40,21.30,29.70
BRANCH,MI,10.17,19.42,30.19
CALHOUN,MI,12.99,21.57,31.12
CASS,MI,8.99,14.82,24.10
CHARLEVOIX,MI,7.63,14.69,21.16
CHEBOYGAN,MI,10.52,19.72,29.04
CHIPPEWA,MI,13.28,21.89,31.82
CLARE,MI,16.53,27.32,40.37
CLINTON,MI,5.10,9.56,15.64
CRAWFORD,MI,10.60,18.26,28.08
DELTA,MI,8.89,19.22,27.17
DICKINSON,MI,8.01,15.34,24.60
EATON,MI,7.10,12.10,19.42
EMMET,MI,6.35,15.22,23.36
GENESEE,MI,15.13,23.62,32.09
GLADWIN,MI,13.06,23.01,33.11
GOGEBIC,MI,12.09,20.54,29.99
