County,State,AvgP_Below_1.00x_FPL,AvgP_Below_1.50x_FPL,AvgP_Below_2.00x_FPL
MADISON,AR,14.04,29.75,37.35
MARION,AR,14.16,24.78,37.59
MILLER,AR,18.05,28.16,36.94
MISSISSIPPI,AR,20.31,33.61,44.28
MONROE,AR,18.13,29.87,39.24
MONTGOMERY,AR,15.75,27.04,41.01
NEVADA,AR,25.25,30.54,45.31
NEWTON,AR,8.07,19.75,32.99
OUACHITA,AR,19.39,31.35,41.00
PERRY,AR,12.60,23.21,31.91
PHILLIPS,AR,25.52,39.46,47.98
PIKE,AR,12.83,26.99,39.99
POINSETT,AR,16.80,28.48,41.36
POLK,AR,19.04,30.31,43.22
POPE,AR,13.29,24.43,35.42
PRAIRIE,AR,12.01,24.07,38.37
PULASKI,AR,12.35,21.67,30.67
RANDOLPH,AR,12.24,30.14,42.34
ST. FRANCIS,AR,20.38,31.33,45.16
SALINE,AR,5.76,10.81,19.34
SCOTT,AR,14.69,32.14,45.21
SEARCY,AR,14.51,28.51,43.85
SEBASTIAN,AR,14.87,25.17,35.44
SEVIER,AR,16.45,26.57,38.20
SHARP,AR,15.65,30.98,44.78
STONE,AR,12.84,22.03,35.78
UNION,AR,16.12,24.68,35.19
VAN BUREN,AR,14.16,24.94,38.72
WASHINGTON,AR,11.09,20.33,30.57
WHITE,AR,12.80,22.26,33.39
WOODRUFF,AR,17.80,27.99,39.06
YELL,AR,13.57,28.89,41.01
APACHE,AZ,28.19,40.98,51.84
COCHISE,AZ,13.23,23.04,32.77
COCONINO,AZ,10.91,19.36,27.28
GILA,AZ,15.35,25.32,35.57
GRAHAM,AZ,16.27,23.88,33.92
GREENLEE,AZ,9.00,17.15,27.24
LA PAZ,AZ,16.35,26.06,40.35
MARICOPA,AZ,10.62,17.94,25.91
MOHAVE,AZ,11.60,21.36,33.30
NAVAJO,AZ,22.36,34.56,44.34
PIMA,AZ,12.39,20.85,30.03
PINAL,AZ,9.86,17.82,28.07
SANTA CRUZ,AZ,19.90,35.63,47.85
YAVAPAI,AZ,8.79,17.34,26.06
YUMA,AZ,17.45,30.65,43.51
ALAMEDA,CA,6.78,11.95,17.45
ALPINE,CA,6.21,13.56,18.64
AMADOR,CA,5.11,13.11,18.58
BUTTE,CA,11.53,20.56,29.67
CALAVERAS,CA,7.78,12.43,22.12
COLUSA,CA,10.57,21.99,32.66
CONTRA COSTA,CA,6.49,11.60,16.85
DEL NORTE,CA,15.93,25.24,38.02
EL DORADO,CA,5.43,9.84,14.78
FRESNO,CA,19.67,31.16,40.49
GLENN,CA,14.53,24.80,38.63
HUMBOLDT,CA,10.19,20.34,29.87
IMPERIAL,CA,20.97,33.43,43.99
INYO,CA,8.98,13.49,21.93
KERN,CA,18.02,30.04,40.93
KINGS,CA,16.57,27.94,39.35
LAKE,CA,16.38,25.55,35.81
LASSEN,CA,10.14,18.09,23.90
LOS ANGELES,CA,12.22,22.19,31.29
MADERA,CA,16.91,26.93,37.21
MARIN,CA,4.11,7.56,10.90
MARIPOSA,CA,9.36,17.41,25.96
MENDOCINO,CA,13.49,22.61,32.92
MERCED,CA,19.02,31.65,42.96
MODOC,CA,9.02,22.14,33.32
MONO,CA,4.04,8.95,15.73
MONTEREY,CA,10.47,20.48,29.91
NAPA,CA,5.21,10.52,17.79
NEVADA,CA,6.18,12.85,20.50
ORANGE,CA,7.91,14.24,20.78
PLACER,CA,5.71,9.40,14.17
PLUMAS,CA,6.75,12.78,21.86
RIVERSIDE,CA,11.28,19.79,28.91
SACRAMENTO,CA,11.80,20.04,27.86
SAN BENITO,CA,7.25,14.05,21.44
SAN BERNARDINO,CA,13.68,23.68,33.48
SAN DIEGO,CA,8.67,15.74,23.15
SAN FRANCISCO,CA,5.80,12.00,16.94
SAN JOAQUIN,CA,12.73,22.60,31.78
SAN LUIS OBISPO,CA,6.54,11.53,17.94
SAN MATEO,CA,4.23,8.27,12.71
SANTA BARBARA,CA,8.96,16.70,25.93
SANTA CLARA,CA,4.94,9.56,14.20
SANTA CRUZ,CA,8.00,14.32,20.78
SHASTA,CA,10.84,19.34,28.94
SIERRA,CA,4.44,8.06,12.50
SISKIYOU,CA,13.28,23.07,34.38
SOLANO,CA,7.94,14.19,20.68
SONOMA,CA,6.10,11.12,17.55
STANISLAUS,CA,12.71,23.51,34.22
SUTTER,CA,13.31,23.42,34.02
TEHAMA,CA,14.90,27.34,38.83
TRINITY,CA,12.63,27.01,35.38
TULARE,CA,21.41,35.13,45.93
TUOLUMNE,CA,8.32,14.85,22.86
VENTURA,CA,6.58,13.01,19.53
YOLO,CA,9.29,16.65,23.16
YUBA,CA,15.19,25.27,33.04
ADAMS,CO,8.51,16.34,24.53
ALAMOSA,CO,16.70,31.87,41.71
ARAPAHOE,CO,6.26,11.44,18.09
ARCHULETA,CO,7.41,13.75,25.50
BACA,CO,15.41,29.19,38.73
BENT,CO,22.89,36.12,48.16
BOULDER,CO,5.49,9.38,13.86
BROOMFIELD,CO,2.45,5.94,9.56
CHAFFEE,CO,6.39,11.94,22.78
CHEYENNE,CO,7.02,13.22,23.14
CLEAR CREEK,CO,3.10,7.98,14.95
CONEJOS,CO,16.50,32.60,44.58
COSTILLA,CO,26.01,43.18,55.45
CROWLEY,CO,18.01,26.71,37.27
CUSTER,CO,9.96,15.32,27.90
DELTA,CO,11.84,21.68,29.99
DENVER,CO,10.05,17.77,25.14
DOLORES,CO,10.72,20.66,33.33
DOUGLAS,CO,2.27,3.84,6.69
EAGLE,CO,3.79,9.25,16.73
ELBERT,CO,3.06,6.81,10.88
EL PASO,CO,7.72,14.02,21.42
FREMONT,CO,11.13,21.39,30.77
GARFIELD,CO,5.88,11.70,20.19
GILPIN,CO,2.87,7.12,8.93
GRAND,CO,4.24,13.02,17.31
GUNNISON,CO,5.52,15.19,21.43
HINSDALE,CO,8.12,13.28,25.46
HUERFANO,CO,13.49,21.57,36.19
JACKSON,CO,7.36,10.90,23.98
JEFFERSON,CO,4.31,8.03,13.11
KIOWA,CO,8.99,23.98,30.25
KIT CARSON,CO,6.74,18.91,28.30
LAKE,CO,11.28,25.24,34.43
LA PLATA,CO,4.47,10.51,16.13
LARIMER,CO,5.68,10.58,16.75
LAS ANIMAS,CO,11.56,22.11,34.00
LINCOLN,CO,8.38,13.48,24.00
LOGAN,CO,8.97,19.40,28.38
MESA,CO,11.67,19.07,25.71
MINERAL,CO,6.69,8.92,15.24
MOFFAT,CO,9.55,18.14,29.24
MONTEZUMA,CO,10.61,21.98,29.57
MONTROSE,CO,12.21,19.02,27.44
MORGAN,CO,6.23,18.74,29.45
OTERO,CO,20.27,32.77,44.56
OURAY,CO,6.97,11.72,16.32
PARK,CO,2.59,5.45,14.69
PHILLIPS,CO,4.34,16.05,27.21
PITKIN,CO,1.95,5.23,9.65
PROWERS,CO,14.26,24.90,37.74
PUEBLO,CO,14.49,23.41,34.06
RIO BLANCO,CO,9.29,15.36,22.95
RIO GRANDE,CO,13.98,22.16,37.76
ROUTT,CO,5.85,8.52,13.08
SAGUACHE,CO,12.69,29.86,44.82
SAN JUAN,CO,0.00,7.56,21.85
SAN MIGUEL,CO,3.80,10.70,16.45
SEDGWICK,CO,9.80,17.57,28.72
SUMMIT,CO,4.00,8.25,15.14
TELLER,CO,5.90,11.81,20.35
WASHINGTON,CO,9.16,18.40,26.63
WELD,CO,7.07,13.53,20.92
YUMA,CO,11.14,19.82,34.10
FAIRFIELD,CT,6.30,11.18,16.49
HARTFORD,CT,7.85,13.57,19.35
LITCHFIELD,CT,4.05,7.33,11.73
MIDDLESEX,CT,4.36,7.54,12.05
NEW HAVEN,CT,8.31,13.74,19.97
NEW LONDON,CT,7.22,12.10,18.21
TOLLAND,CT,2.77,6.45,10.43
WINDHAM,CT,7.53,12.85,19.22
DISTRICT OF COLUMBIA,DC,12.89,19.17,24.30
KENT,DE,10.39,18.19,27.23
NEW CASTLE,DE,7.28,12.30,17.92
SUSSEX,DE,7.73,13.55,21.21
ALACHUA,FL,10.63,17.61,24.99
BAKER,FL,11.12,19.29,29.23
BAY,FL,10.52,18.51,27.90
BRADFORD,FL,15.64,23.85,31.62
BREVARD,FL,8.81,16.18,24.32
BROWARD,FL,10.29,18.85,27.93
CALHOUN,FL,6.37,22.83,33.62
CHARLOTTE,FL,7.50,14.70,23.37
CITRUS,FL,11.05,19.76,30.62
CLAY,FL,8.74,16.19,23.06
COLLIER,FL,7.95,14.64,21.97
COLUMBIA,FL,11.01,21.21,30.21
DESOTO,FL,20.45,35.46,49.20
DIXIE,FL,16.82,32.03,39.89
DUVAL,FL,11.73,20.18,29.06
ESCAMBIA,FL,8.63,16.53,24.91
FLAGLER,FL,7.89,16.03,24.87
FRANKLIN,FL,15.42,26.98,36.15
GADSDEN,FL,17.55,26.48,38.12
GILCHRIST,FL,13.55,25.03,36.46
GLADES,FL,11.05,21.64,31.79
GULF,FL,10.11,18.13,31.57
HAMILTON,FL,25.17,33.58,46.85
HARDEE,FL,19.89,33.41,46.77
HENDRY,FL,23.13,35.41,47.25
HERNANDO,FL,10.11,18.99,29.97
HIGHLANDS,FL,13.28,23.98,35.80
HILLSBOROUGH,FL,11.22,19.47,28.20
HOLMES,FL,21.01,32.34,41.96
INDIAN RIVER,FL,6.45,14.05,22.86
JACKSON,FL,16.37,26.20,37.69
JEFFERSON,FL,11.68,21.54,30.30
LAFAYETTE,FL,26.26,36.93,44.86
LAKE,FL,8.91,17.87,26.81
LEE,FL,9.62,16.89,25.41
LEON,FL,9.86,16.98,24.96
LEVY,FL,16.36,28.81,39.75
LIBERTY,FL,11.19,27.77,45.87
MADISON,FL,21.81,31.77,42.19
MANATEE,FL,8.16,15.28,23.04
MARION,FL,12.02,20.74,31.78
MARTIN,FL,6.93,12.65,18.88
MIAMI-DADE,FL,14.75,27.29,38.33
MONROE,FL,7.42,13.70,20.19
NASSAU,FL,7.57,12.57,20.04
OKALOOSA,FL,8.03,14.64,22.25
OKEECHOBEE,FL,17.03,28.44,40.74
ORANGE,FL,12.26,21.78,31.32
OSCEOLA,FL,13.43,25.60,38.03
PALM BEACH,FL,8.97,16.51,24.76
PASCO,FL,9.50,18.37,27.58
PINELLAS,FL,8.61,15.77,24.32
POLK,FL,12.47,22.28,33.10
PUTNAM,FL,18.26,30.11,41.63
ST. JOHNS,FL,5.18,10.23,14.84
