County,State,Num_Fam_Below_1.00x_FPL,Num_Fam_Below_1.50x_FPL,Num_Fam_Below_2.00x_FPL
CRAWFORD,PA,2349,4211,6291
CUMBERLAND,PA,2808,5857,10016
DAUPHIN,PA,6355,10982,16181
DELAWARE,PA,9854,17391,25835
ELK,PA,609,1125,1946
ERIE,PA,7623,13036,19200
FAYETTE,PA,4539,7516,10704
FOREST,PA,72,134,230
FRANKLIN,PA,3144,5717,8935
FULTON,PA,344,668,1106
GREENE,PA,986,1610,2397
HUNTINGDON,PA,1096,2043,3205
INDIANA,PA,1762,3812,5438
JEFFERSON,PA,1234,2246,3451
JUNIATA,PA,455,1016,1652
LACKAWANNA,PA,5610,9195,13619
LANCASTER,PA,8956,17356,28498
LAWRENCE,PA,2558,4738,6746
LEBANON,PA,3076,5458,8883
LEHIGH,PA,8577,14997,21888
LUZERNE,PA,8939,14830,21618
LYCOMING,PA,2872,4743,7719
MCKEAN,PA,1267,2183,3063
MERCER,PA,3182,5035,7673
MIFFLIN,PA,1294,2490,3875
MONROE,PA,3376,5700,8507
MONTGOMERY,PA,8966,16191,25583
MONTOUR,PA,308,675,980
NORTHAMPTON,PA,5033,9263,14210
NORTHUMBERLAND,PA,2356,4687,7089
PERRY,PA,616,1453,2398
PHILADELPHIA,PA,63107,95245,127242
PIKE,PA,1280,2059,3285
POTTER,PA,407,864,1262
SCHUYLKILL,PA,3553,6457,10375
SNYDER,PA,812,1689,2535
SOMERSET,PA,1799,3458,5431
SULLIVAN,PA,101,235,433
SUSQUEHANNA,PA,967,1832,2969
TIOGA,PA,999,1922,3033
UNION,PA,780,1280,2319
VENANGO,PA,1426,2587,4041
WARREN,PA,1004,1850,3018
WASHINGTON,PA,3536,6671,10362
WAYNE,PA,855,1667,2579
WESTMORELAND,PA,6780,12011,18779
WYOMING,PA,550,1022,1653
YORK,PA,8300,15380,23592
BRISTOL,RI,709,1249,1872
KENT,RI,2085,4168,6334
NEWPORT,RI,1206,1943,2964
PROVIDENCE,RI,17838,28704,41170
WASHINGTON,RI,1682,2829,4007
ABBEVILLE,SC,1039,1603,2251
AIKEN,SC,5860,10097,14341
ALLENDALE,SC,408,767,1036
ANDERSON,SC,5974,10802,15635
BAMBERG,SC,644,1085,1513
BARNWELL,SC,1125,1593,2215
BEAUFORT,SC,3423,6308,9960
BERKELEY,SC,4779,8699,13648
CALHOUN,SC,426,720,982
CHARLESTON,SC,8781,14556,20516
CHEROKEE,SC,1740,2932,4340
CHESTER,SC,1282,1943,2942
CHESTERFIELD,SC,2171,3740,5088
CLARENDON,SC,1606,2623,3586
COLLETON,SC,1643,3102,4089
DARLINGTON,SC,2939,4719,6916
DILLON,SC,2061,2884,3885
DORCHESTER,SC,3313,5551,8694
EDGEFIELD,SC,788,1455,1973
FAIRFIELD,SC,1014,1701,2447
FLORENCE,SC,5216,8808,12059
GEORGETOWN,SC,2211,3678,5162
GREENVILLE,SC,11173,20613,31592
GREENWOOD,SC,3082,4793,6513
HAMPTON,SC,607,1247,1822
HORRY,SC,9742,16375,24248
JASPER,SC,1088,2178,3048
KERSHAW,SC,2159,3591,5620
LANCASTER,SC,2490,3904,5780
LAURENS,SC,2696,4625,6639
LEE,SC,711,1384,1882
LEXINGTON,SC,7079,12094,18047
MARION,SC,1388,2325,3430
MARLBORO,SC,1464,2249,2847
MCCORMICK,SC,355,599,904
NEWBERRY,SC,1325,2475,3365
OCONEE,SC,2714,4350,6421
ORANGEBURG,SC,3825,6074,8156
PICKENS,SC,2787,5275,8360
RICHLAND,SC,10287,18231,25544
SALUDA,SC,639,1322,2056
SPARTANBURG,SC,8515,16223,23663
SUMTER,SC,4509,7451,10834
UNION,SC,1411,2068,3148
WILLIAMSBURG,SC,1591,2535,3829
YORK,SC,5926,10328,15890
AURORA,SD,40,84,145
BEADLE,SD,610,922,1140
BENNETT,SD,164,212,300
BON HOMME,SD,74,203,337
BROOKINGS,SD,388,671,1069
BROWN,SD,791,1387,1987
BRULE,SD,143,258,484
BUFFALO,SD,153,222,278
BUTTE,SD,191,479,893
CAMPBELL,SD,12,35,86
CHARLES MIX,SD,244,461,693
CLARK,SD,71,154,260
CLAY,SD,321,448,660
CODINGTON,SD,570,925,1552
CORSON,SD,288,415,453
CUSTER,SD,294,431,636
DAVISON,SD,352,777,1316
DAY,SD,273,392,516
DEUEL,SD,67,143,261
DEWEY,SD,293,447,577
DOUGLAS,SD,38,92,205
EDMUNDS,SD,34,103,187
FALL RIVER,SD,188,334,519
FAULK,SD,2,40,90
GRANT,SD,68,145,283
GREGORY,SD,113,231,353
HAAKON,SD,79,170,306
HAMLIN,SD,52,153,305
HAND,SD,78,113,210
HANSON,SD,34,56,119
HARDING,SD,10,37,70
HUGHES,SD,281,480,592
HUTCHINSON,SD,120,252,398
HYDE,SD,23,38,84
JACKSON,SD,212,303,366
JERAULD,SD,26,44,84
JONES,SD,17,25,68
KINGSBURY,SD,72,129,228
LAKE,SD,103,305,449
LAWRENCE,SD,363,631,1237
LINCOLN,SD,263,781,1602
LYMAN,SD,155,249,330
MARSHALL,SD,62,153,207
MCCOOK,SD,89,184,316
MCPHERSON,SD,40,74,149
MEADE,SD,352,1034,1781
MELLETTE,SD,185,217,278
MINER,SD,36,83,147
MINNEHAHA,SD,3485,5982,9171
MOODY,SD,137,252,404
OGLALA LAKOTA,SD,1026,1349,1554
PENNINGTON,SD,2545,4272,6340
PERKINS,SD,73,124,200
POTTER,SD,27,62,147
ROBERTS,SD,351,619,841
SANBORN,SD,35,77,135
SPINK,SD,97,184,351
STANLEY,SD,24,38,142
SULLY,SD,10,37,64
TODD,SD,991,1226,1348
TRIPP,SD,260,359,453
TURNER,SD,148,311,476
UNION,SD,183,380,650
WALWORTH,SD,39,101,234
YANKTON,SD,439,909,1426
ZIEBACH,SD,189,263,319
ANDERSON,TN,2739,4305,5948
BEDFORD,TN,1489,2875,4335
BENTON,TN,559,1213,1679
BLEDSOE,TN,545,959,1422
BLOUNT,TN,2887,5818,8707
BRADLEY,TN,3290,5741,8289
CAMPBELL,TN,1632,3183,4376
CANNON,TN,480,898,1195
CARROLL,TN,1012,1702,2579
CARTER,TN,2742,4409,5988
CHEATHAM,TN,684,1513,2606
CHESTER,TN,585,942,1309
CLAIBORNE,TN,1559,2379,3392
CLAY,TN,404,744,963
COCKE,TN,1837,2934,3983
COFFEE,TN,1509,3033,4675
CROCKETT,TN,491,906,1198
CUMBERLAND,TN,1810,3417,5406
DAVIDSON,TN,19330,31742,44442
DECATUR,TN,447,832,1218
DEKALB,TN,744,1249,1952
DICKSON,TN,1287,2298,3437
DYER,TN,1569,2703,3960
FAYETTE,TN,1121,1876,2985
FENTRESS,TN,942,1683,2197
FRANKLIN,TN,1278,2190,3275
GIBSON,TN,1758,3271,4673
GILES,TN,790,1566,2303
GRAINGER,TN,930,1673,2273
GREENE,TN,2415,4742,6576
GRUNDY,TN,682,1162,1569
HAMBLEN,TN,2415,4228,5908
HAMILTON,TN,7760,13853,20560
HANCOCK,TN,369,590,858
HARDEMAN,TN,903,1647,2332
HARDIN,TN,1070,1794,2691
HAWKINS,TN,2440,4014,5848
HAYWOOD,TN,630,1232,1802
HENDERSON,TN,988,1799,2404
HENRY,TN,1353,2273,3377
HICKMAN,TN,748,1142,2105
HOUSTON,TN,195,386,664
HUMPHREYS,TN,514,913,1363
JACKSON,TN,430,708,1107
JEFFERSON,TN,1436,2912,4443
JOHNSON,TN,735,1320,2088
KNOX,TN,11592,19588,27916
LAKE,TN,318,474,601
LAUDERDALE,TN,1293,2350,3233
LAWRENCE,TN,1616,2930,4175
LEWIS,TN,462,835,1248
LINCOLN,TN,1084,2053,3025
LOUDON,TN,1117,2043,3704
MACON,TN,1018,1915,2668
MADISON,TN,3691,5800,8050
MARION,TN,1181,1750,2471
MARSHALL,TN,940,1730,2612
MAURY,TN,2385,4140,6268
MCMINN,TN,2043,3288,4841
MCNAIRY,TN,1010,1993,2845
MEIGS,TN,395,717,1012
MONROE,TN,1832,3511,4722
MONTGOMERY,TN,5502,9578,15089
MOORE,TN,131,376,501
MORGAN,TN,898,1653,2292
OBION,TN,1503,2440,3241
OVERTON,TN,632,1488,2215
PERRY,TN,507,766,1049
PICKETT,TN,238,398,578
POLK,TN,658,1294,1774
PUTNAM,TN,2441,4475,6631
RHEA,TN,1360,2148,3106
ROANE,TN,1575,2435,3830
ROBERTSON,TN,1797,3161,4778
RUTHERFORD,TN,5683,10305,16225
SCOTT,TN,1096,1802,2587
SEQUATCHIE,TN,598,976,1518
SEVIER,TN,2687,5482,8595
SHELBY,TN,34419,53708,72377
SMITH,TN,590,1122,1835
STEWART,TN,472,758,1187
SULLIVAN,TN,5407,9643,13906
SUMNER,TN,3439,6421,9723
TIPTON,TN,1971,3310,4588
TROUSDALE,TN,161,324,667
UNICOI,TN,848,1377,2070
UNION,TN,1045,1610,2164
VAN BUREN,TN,173,469,656
WARREN,TN,1781,2877,3867
WASHINGTON,TN,3502,6408,9483
WAYNE,TN,704,1091,1657
WEAKLEY,TN,1169,2120,3032
WHITE,TN,905,1741,2762
WILLIAMSON,TN,1749,3686,5719
WILSON,TN,2270,4121,6376
ANDERSON,TX,1302,2756,4330
ANDREWS,TX,358,613,896
ANGELINA,TX,3325,5547,8090
ARANSAS,TX,715,1316,1884
ARCHER,TX,154,326,489
ARMSTRONG,TX,23,42,98
ATASCOSA,TX,1381,2451,3977
AUSTIN,TX,646,1295,1907
BAILEY,TX,155,321,669
BANDERA,TX,671,993,1437
BASTROP,TX,1358,2962,4537
BAYLOR,TX,83,159,307
BEE,TX,1294,1963,2774
BELL,TX,9279,16893,25744
BEXAR,TX,53209,93821,132790
BLANCO,TX,222,490,787
BORDEN,TX,0,2,19
BOSQUE,TX,611,1041,1630
BOWIE,TX,3161,5194,7506
BRAZORIA,TX,6344,10786,16435
BRAZOS,TX,5793,9778,13550
BREWSTER,TX,209,490,769
BRISCOE,TX,39,110,157
BROOKS,TX,500,668,875
BROWN,TX,1045,1914,3069
BURLESON,TX,358,663,1096
BURNET,TX,963,1794,2797
CALDWELL,TX,1227,2282,3339
CALHOUN,TX,446,934,1566
CALLAHAN,TX,291,581,970
CAMERON,TX,26293,40391,51392
CAMP,TX,477,884,1365
CARSON,TX,80,174,250
CASS,TX,1156,1957,3077
CASTRO,TX,194,340,710
CHAMBERS,TX,976,1763,2355
CHEROKEE,TX,1891,3504,4822
CHILDRESS,TX,176,448,618
CLAY,TX,297,427,736
COCHRAN,TX,133,242,276
COKE,TX,86,160,265
COLEMAN,TX,307,516,754
COLLIN,TX,11597,21225,32598
COLLINGSWORTH,TX,105,202,336
COLORADO,TX,389,1023,1424
COMAL,TX,2076,4296,6663
COMANCHE,TX,452,721,1114
CONCHO,TX,52,130,183
COOKE,TX,1110,1870,2807
CORYELL,TX,1747,3571,5663
COTTLE,TX,80,123,197
CRANE,TX,75,160,241
CROCKETT,TX,155,155,212
CROSBY,TX,242,451,655
CULBERSON,TX,103,167,201
DALLAM,TX,137,242,458
DALLAS,TX,79189,142526,203304
DAWSON,TX,521,1044,1247
DEAF SMITH,TX,696,1047,1462
DELTA,TX,241,305,439
DENTON,TX,10147,19083,29751
DEWITT,TX,624,1106,1611
DICKENS,TX,68,123,168
DIMMIT,TX,498,932,1226
DONLEY,TX,77,156,242
DUVAL,TX,545,896,1232
EASTLAND,TX,591,1052,1524
ECTOR,TX,3309,6639,9967
EDWARDS,TX,17,97,149
EL PASO,TX,35382,61348,85065
ELLIS,TX,3079,6012,9071
ERATH,TX,944,1585,2643
FALLS,TX,762,1022,1248
FANNIN,TX,754,1492,2311
FAYETTE,TX,370,962,1366
FISHER,TX,127,185,286
FLOYD,TX,257,477,657
FOARD,TX,26,77,136
FORT BEND,TX,11736,20422,31732
FRANKLIN,TX,146,376,659
FREESTONE,TX,627,1204,1609
FRIO,TX,608,1093,1497
GAINES,TX,479,1011,1637
GALVESTON,TX,8231,13771,18734
GARZA,TX,153,261,355
GILLESPIE,TX,677,1203,1872
GLASSCOCK,TX,27,74,109
GOLIAD,TX,206,328,443
GONZALES,TX,615,1202,1734
GRAY,TX,650,1332,1690
GRAYSON,TX,3470,6115,9084
GREGG,TX,4188,7522,10311
GRIMES,TX,837,1427,1942
GUADALUPE,TX,2676,5114,7981
HALE,TX,1137,1883,2914
HALL,TX,179,362,494
HAMILTON,TX,257,460,610
HANSFORD,TX,209,422,661
HARDEMAN,TX,88,235,362
HARDIN,TX,1449,2419,3290
HARRIS,TX,145031,247516,346368
HARRISON,TX,1982,3737,5257
HARTLEY,TX,62,97,364
HASKELL,TX,248,400,519
HAYS,TX,3846,6636,9048
HEMPHILL,TX,112,208,300
HENDERSON,TX,2703,4863,7333
HIDALGO,TX,52723,81226,102532
HILL,TX,1043,1970,2848
HOCKLEY,TX,708,1224,2017
HOOD,TX,1214,1996,3266
HOPKINS,TX,1330,2277,3228
HOUSTON,TX,941,1633,2173
HOWARD,TX,1057,1712,2279
HUDSPETH,TX,185,258,369
HUNT,TX,2764,4681,6644
HUTCHINSON,TX,594,937,1330
IRION,TX,36,46,81
JACK,TX,261,475,690
JACKSON,TX,382,612,1021
JASPER,TX,1003,1902,2441
JEFF DAVIS,TX,8,63,89
JEFFERSON,TX,8782,14571,20020
JIM HOGG,TX,271,391,573
JIM WELLS,TX,1533,2499,3751
JOHNSON,TX,3462,6800,10717
JONES,TX,378,787,1132
KARNES,TX,472,735,931
KAUFMAN,TX,2984,4807,7039
KENDALL,TX,351,791,1536
KENEDY,TX,10,59,59
KENT,TX,16,16,59
KERR,TX,1329,2701,3954
KIMBLE,TX,166,283,467
KING,TX,2,4,9
KINNEY,TX,77,242,303
KLEBERG,TX,1244,1759,2439
KNOX,TX,104,213,294
LA SALLE,TX,162,399,505
LAMAR,TX,1788,2989,4448
LAMB,TX,641,1105,1424
LAMPASAS,TX,418,880,1284
LAVACA,TX,608,941,1507
LEE,TX,531,926,1289
LEON,TX,540,971,1259
LIBERTY,TX,2089,4054,6024
LIMESTONE,TX,850,1575,2209
LIPSCOMB,TX,90,177,239
LIVE OAK,TX,263,479,784
LLANO,TX,435,942,1456
LOVING,TX,0,0,0
LUBBOCK,TX,8248,15263,21257
LYNN,TX,260,502,633
MADISON,TX,337,595,876
MARION,TX,356,664,1006
MARTIN,TX,76,161,261
MASON,TX,103,186,270
MATAGORDA,TX,1478,2305,3045
MAVERICK,TX,3199,5395,6977
MCCULLOCH,TX,233,494,813
MCLENNAN,TX,7718,13701,19467
MCMULLEN,TX,17,23,26
MEDINA,TX,921,1916,2701
MENARD,TX,43,99,225
MIDLAND,TX,2808,4662,7465
MILAM,TX,757,1454,2295
MILLS,TX,136,225,370
MITCHELL,TX,56,247,328
MONTAGUE,TX,563,1121,1672
MONTGOMERY,TX,10340,19461,29189
MOORE,TX,544,1013,1713
MORRIS,TX,411,687,1091
MOTLEY,TX,18,55,115
NACOGDOCHES,TX,2409,4004,5332
NAVARRO,TX,1875,3108,4591
NEWTON,TX,439,787,1237
NOLAN,TX,400,742,1196
NUECES,TX,10940,19195,27668
OCHILTREE,TX,284,591,978
OLDHAM,TX,31,43,74
ORANGE,TX,2229,4215,6065
PALO PINTO,TX,906,1638,2364
PANOLA,TX,686,1419,2040
PARKER,TX,1860,3805,6075
PARMER,TX,302,618,839
PECOS,TX,310,624,1065
POLK,TX,1778,2994,4447
POTTER,TX,4614,8208,11450
PRESIDIO,TX,364,694,915
RAINS,TX,177,479,797
RANDALL,TX,1985,3554,5888
REAGAN,TX,85,193,256
REAL,TX,59,162,208
RED RIVER,TX,485,906,1223
REEVES,TX,263,542,753
REFUGIO,TX,274,420,580
ROBERTS,TX,12,31,38
ROBERTSON,TX,368,777,1204
ROCKWALL,TX,1191,2229,3708
RUNNELS,TX,298,625,962
RUSK,TX,1252,2661,3962
SABINE,TX,490,940,1174
SAN AUGUSTINE,TX,438,681,877
SAN JACINTO,TX,605,1486,2159
SAN PATRICIO,TX,2307,3920,5607
SAN SABA,TX,114,294,484
SCHLEICHER,TX,82,107,160
SCURRY,TX,335,769,1026
SHACKELFORD,TX,56,134,204
SHELBY,TX,1329,2059,2737
SHERMAN,TX,81,107,223
SMITH,TX,6318,10975,16100
SOMERVELL,TX,688,802,852
STARR,TX,4096,6600,8079
STEPHENS,TX,453,581,857
STERLING,TX,9,45,74
STONEWALL,TX,26,61,95
SUTTON,TX,62,100,261
SWISHER,TX,320,644,853
TARRANT,TX,47373,85737,125426
TAYLOR,TX,3676,6594,9887
TERRELL,TX,22,60,66
TERRY,TX,355,781,1142
THROCKMORTON,TX,43,76,120
TITUS,TX,1357,2338,3396
TOM GREEN,TX,2522,4733,7290
TRAVIS,TX,22821,38881,56253
TRINITY,TX,525,1068,1524
TYLER,TX,604,942,1364
UPSHUR,TX,901,1607,2655
UPTON,TX,128,193,268
UVALDE,TX,861,1806,2705
VAL VERDE,TX,2011,3723,4869
VAN ZANDT,TX,1339,2683,3847
VICTORIA,TX,2569,4549,6620
WALKER,TX,1818,2856,3859
WALLER,TX,1260,2245,3111
WARD,TX,285,565,749
WASHINGTON,TX,876,1604,2272
WEBB,TX,15398,23314,30669
WHARTON,TX,1471,2693,3675
WHEELER,TX,236,381,572
WICHITA,TX,4131,6877,9883
WILBARGER,TX,404,797,1103
WILLACY,TX,1569,2305,2851
WILLIAMSON,TX,5683,11436,18721
WILSON,TX,861,1664,2625
WINKLER,TX,255,388,570
WISE,TX,1515,2698,4249
WOOD,TX,1168,2224,3589
YOAKUM,TX,152,333,469
YOUNG,TX,380,1112,1604
ZAPATA,TX,998,1510,1933
ZAVALA,TX,769,1300,1551
BEAVER,UT,123,287,449
BOX ELDER,UT,1107,2360,3690
CACHE,UT,3006,5633,8360
CARBON,UT,635,1078,1531
DAGGETT,UT,0,2,23
DAVIS,UT,3781,8116,13633
DUCHESNE,UT,545,881,1387
EMERY,UT,212,462,663
GARFIELD,UT,148,220,393
GRAND,UT,192,397,831
IRON,UT,1583,2831,4015
JUAB,UT,279,424,680
KANE,UT,106,204,333
MILLARD,UT,268,616,941
MORGAN,UT,90,205,457
PIUTE,UT,48,108,157
RICH,UT,33,49,94
SALT LAKE,UT,17175,33228,52834
SAN JUAN,UT,587,850,1201
SANPETE,UT,656,1284,2249
SEVIER,UT,565,1116,1782
SUMMIT,UT,485,798,1219
TOOELE,UT,788,1781,3364
UINTAH,UT,727,1365,1956
UTAH,UT,10195,19713,32605
WASATCH,UT,439,799,1216
WASHINGTON,UT,3544,6878,11011
WAYNE,UT,34,75,202
WEBER,UT,4917,8571,13683
ACCOMACK,VA,1026,1914,2828
ALBEMARLE,VA,1506,2586,3990
ALEXANDRIA CITY,VA,2562,4244,5661
ALLEGHANY,VA,644,916,1232
AMELIA,VA,320,476,825
AMHERST,VA,626,1380,1997
APPOMATTOX,VA,530,825,1131
ARLINGTON,VA,2124,3865,5500
AUGUSTA,VA,1424,2642,4412
BATH,VA,78,301,362
BEDFORD,VA,1313,2325,3934
BLAND,VA,84,214,396
BOTETOURT,VA,567,929,1676
BRISTOL CITY,VA,707,1161,1618
BRUNSWICK,VA,615,1000,1482
BUCHANAN,VA,1352,2060,2774
BUCKINGHAM,VA,458,777,1242
BUENA VISTA CITY,VA,301,585,811
CAMPBELL,VA,1481,2923,3944
CAROLINE,VA,459,790,1403
CARROLL,VA,829,1543,2395
CHARLES CITY,VA,169,283,439
CHARLOTTE,VA,421,666,953
CHARLOTTESVILLE CITY,VA,1099,1665,2197
CHESAPEAKE CITY,VA,4491,7535,11067
CHESTERFIELD,VA,3866,7929,12943
CLARKE,VA,174,324,495
COLONIAL HEIGHTS CITY,VA,480,816,1272
COVINGTON CITY,VA,203,357,520
CRAIG,VA,30,69,200
CULPEPER,VA,613,1570,2450
CUMBERLAND,VA,365,590,765
DANVILLE CITY,VA,1872,3275,4479
DICKENSON,VA,806,1331,1733
DINWIDDIE,VA,629,1065,1784
EMPORIA CITY,VA,272,507,613
ESSEX,VA,199,520,743
FAIRFAX,VA,11671,21309,31791
FAIRFAX CITY,VA,135,397,601
FALLS CHURCH CITY,VA,62,87,154
FAUQUIER,VA,727,1159,1813
FLOYD,VA,258,659,1191
FLUVANNA,VA,180,350,671
FRANKLIN,VA,1845,2851,4440
FRANKLIN CITY,VA,221,589,960
FREDERICK,VA,998,2216,3777
FREDERICKSBURG CITY,VA,543,910,1097
GALAX CITY,VA,417,658,813
GILES,VA,337,672,1143
GLOUCESTER,VA,584,1069,1685
GOOCHLAND,VA,208,492,774
GRAYSON,VA,662,1004,1599
GREENE,VA,264,952,1302
GREENSVILLE,VA,290,713,885
HALIFAX,VA,983,1775,2816
HAMPTON CITY,VA,3677,6112,8774
HANOVER,VA,1054,1747,2957
HARRISONBURG CITY,VA,1066,2059,3013
HENRICO,VA,5590,9636,13845
HENRY,VA,2214,3911,5314
HIGHLAND,VA,55,131,195
HOPEWELL CITY,VA,1033,1435,2189
ISLE OF WIGHT,VA,726,1261,1888
JAMES CITY,VA,1084,1776,2745
KING AND QUEEN,VA,176,273,481
KING GEORGE,VA,279,583,895
KING WILLIAM,VA,271,441,840
LANCASTER,VA,155,377,635
LEE,VA,1129,1932,2608
LEXINGTON CITY,VA,81,144,228
LOUDOUN,VA,2286,4649,7968
LOUISA,VA,808,1605,2315
LUNENBURG,VA,321,681,1083
LYNCHBURG CITY,VA,2213,3725,5362
MADISON,VA,243,699,993
MANASSAS CITY,VA,638,1234,2009
MANASSAS PARK CITY,VA,321,498,738
MARTINSVILLE CITY,VA,729,1058,1422
MATHEWS,VA,174,318,497
MECKLENBURG,VA,1073,1795,2658
MIDDLESEX,VA,169,352,631
MONTGOMERY,VA,1544,2247,3507
NELSON,VA,385,714,1024
NEW KENT,VA,222,451,656
NEWPORT NEWS CITY,VA,5039,8641,12566
NORFOLK CITY,VA,7588,11999,16940
NORTHAMPTON,VA,367,650,893
NORTHUMBERLAND,VA,549,721,1052
NORTON CITY,VA,328,366,472
NOTTOWAY,VA,551,917,1483
ORANGE,VA,589,1345,2056
PAGE,VA,743,1183,1794
PATRICK,VA,741,1169,1655
PETERSBURG CITY,VA,1385,2106,3159
PITTSYLVANIA,VA,2282,3893,6032
POQUOSON CITY,VA,105,262,337
PORTSMOUTH CITY,VA,2800,4678,6812
POWHATAN,VA,267,511,972
PRINCE EDWARD,VA,529,941,1534
PRINCE GEORGE,VA,486,903,1527
PRINCE WILLIAM,VA,5547,10491,16291
PULASKI,VA,953,1490,2356
RADFORD CITY,VA,307,472,637
RAPPAHANNOCK,VA,79,136,298
RICHMOND,VA,225,531,737
RICHMOND CITY,VA,7148,10923,13941
ROANOKE,VA,1395,2734,4215
ROANOKE CITY,VA,3696,5885,8184
ROCKBRIDGE,VA,502,1123,1654
ROCKINGHAM,VA,1624,3115,4840
RUSSELL,VA,1119,1848,2590
SALEM CITY,VA,409,703,1269
SCOTT,VA,774,1374,1899
SHENANDOAH,VA,732,1641,2879
SMYTH,VA,1178,1898,2983
SOUTHAMPTON,VA,416,957,1188
SPOTSYLVANIA,VA,1727,3393,5265
STAFFORD,VA,1125,2413,4638
STAUNTON CITY,VA,494,949,1507
SUFFOLK CITY,VA,2155,3551,5055
SURRY,VA,173,366,461
SUSSEX,VA,358,694,956
TAZEWELL,VA,1223,2298,3862
VIRGINIA BEACH CITY,VA,6474,12736,20044
WARREN,VA,753,1218,1914
WASHINGTON,VA,1521,2739,4311
WAYNESBORO CITY,VA,653,1079,1582
WESTMORELAND,VA,359,662,1156
WILLIAMSBURG CITY,VA,147,277,428
WINCHESTER CITY,VA,598,1020,1783
WISE,VA,1650,2843,3979
WYTHE,VA,895,1466,2238
YORK,VA,672,1321,2246
ADDISON,VT,427,848,1508
BENNINGTON,VT,708,1474,2291
CALEDONIA,VT,652,1118,1830
CHITTENDEN,VT,2365,4175,6117
ESSEX,VT,156,328,524
FRANKLIN,VT,664,1313,2056
GRAND ISLE,VT,83,148,247
LAMOILLE,VT,689,1073,1575
ORANGE,VT,561,1042,1758
ORLEANS,VT,707,1398,2306
RUTLAND,VT,1080,1938,3040
WASHINGTON,VT,1180,2051,3036
WINDHAM,VT,1077,1899,2801
WINDSOR,VT,845,1551,2661
ADAMS,WA,837,1344,1931
ASOTIN,WA,430,1054,1426
BENTON,WA,4331,7854,11306
CHELAN,WA,1568,3023,4613
CLALLAM,WA,2047,3343,5155
CLARK,WA,6983,14311,22169
COLUMBIA,WA,59,176,239
COWLITZ,WA,3137,5169,7588
DOUGLAS,WA,1016,2044,2968
FERRY,WA,268,508,681
FRANKLIN,WA,2481,4346,6265
GARFIELD,WA,42,67,120
GRANT,WA,2199,4940,7382
GRAYS HARBOR,WA,1867,3503,5366
ISLAND,WA,1453,2807,4383
JEFFERSON,WA,710,1208,1935
KING,WA,30281,51207,74993
KITSAP,WA,4507,7859,11769
KITTITAS,WA,715,1235,1897
KLICKITAT,WA,378,990,1499
LEWIS,WA,1797,3649,5368
LINCOLN,WA,264,531,725
MASON,WA,1459,2729,4056
OKANOGAN,WA,1678,3177,4432
PACIFIC,WA,627,1173,1651
PEND OREILLE,WA,408,774,1255
PIERCE,WA,16002,27561,43310
SAN JUAN,WA,396,647,990
SKAGIT,WA,2561,4415,6718
SKAMANIA,WA,303,531,729
SNOHOMISH,WA,10738,19077,29382
SPOKANE,WA,11541,20565,31255
STEVENS,WA,1327,2328,3425
THURSTON,WA,5308,9243,13790
WAHKIAKUM,WA,75,194,282
WALLA WALLA,WA,1116,2190,3681
WHATCOM,WA,3955,7153,10979
WHITMAN,WA,863,1461,2093
YAKIMA,WA,8452,16313,23191
ADAMS,WI,496,947,1616
ASHLAND,WI,394,737,1159
BARRON,WI,932,2082,3346
BAYFIELD,WI,349,697,1112
BROWN,WI,5023,9057,14006
BUFFALO,WI,246,486,744
BURNETT,WI,477,834,1267
CALUMET,WI,683,1288,2217
CHIPPEWA,WI,1256,2345,3780
CLARK,WI,781,1575,2589
COLUMBIA,WI,940,1786,2802
CRAWFORD,WI,366,669,975
DANE,WI,6959,12132,18092
DODGE,WI,1368,2728,4440
DOOR,WI,424,868,1491
DOUGLAS,WI,1004,1753,2606
DUNN,WI,611,1462,2366
EAU CLAIRE,WI,1549,2940,4459
FLORENCE,WI,82,177,308
FOND DU LAC,WI,1661,3253,5023
FOREST,WI,323,504,791
GRANT,WI,885,1660,2635
GREEN,WI,504,1035,1939
GREEN LAKE,WI,371,765,1216
IOWA,WI,310,731,1117
IRON,WI,184,323,519
JACKSON,WI,467,874,1366
JEFFERSON,WI,1343,2636,4178
JUNEAU,WI,599,1140,1700
KENOSHA,WI,4027,6643,9784
KEWAUNEE,WI,306,588,1001
LA CROSSE,WI,1387,2872,5078
LAFAYETTE,WI,352,688,1102
LANGLADE,WI,525,915,1321
LINCOLN,WI,420,919,1519
MANITOWOC,WI,1651,2838,4658
MARATHON,WI,2196,4383,7116
MARINETTE,WI,1060,1958,3094
MARQUETTE,WI,304,564,990
MENOMINEE,WI,297,417,501
MILWAUKEE,WI,32691,51976,70400
MONROE,WI,957,1594,2546
OCONTO,WI,765,1421,2321
ONEIDA,WI,528,1103,1711
OUTAGAMIE,WI,3050,5217,8618
OZAUKEE,WI,866,1536,2604
PEPIN,WI,171,304,448
PIERCE,WI,597,838,1421
POLK,WI,847,1708,2933
PORTAGE,WI,964,1836,2912
PRICE,WI,256,623,1070
RACINE,WI,4559,8350,12320
RICHLAND,WI,456,793,1219
ROCK,WI,4431,7319,10611
RUSK,WI,391,797,1195
SAUK,WI,1274,2105,3520
SAWYER,WI,650,1086,1552
SHAWANO,WI,826,1546,2554
SHEBOYGAN,WI,1513,3293,5912
ST. CROIX,WI,604,1347,2752
TAYLOR,WI,406,883,1474
TREMPEALEAU,WI,426,916,1584
